epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,5.632768,0.206795,4.606892,0.371886,0.00300000,2.68
2,3.691123,0.470881,3.044414,0.530348,0.00299695,2.72
3,2.664729,0.568849,2.438594,0.576117,0.00298781,2.55
4,2.213463,0.610169,2.138180,0.605872,0.00297262,2.68
5,1.963081,0.635325,1.961356,0.621095,0.00295143,2.53
6,1.801921,0.653821,1.843333,0.633155,0.00292435,2.59
7,1.686595,0.668138,1.759502,0.642942,0.00289147,2.57
8,1.599412,0.679942,1.694424,0.652036,0.00285294,2.37
9,1.529892,0.690780,1.646342,0.656584,0.00280891,2.48
10,1.472953,0.698578,1.605630,0.661032,0.00275956,2.50
11,1.424945,0.705946,1.574040,0.664690,0.00270510,2.47
12,1.383632,0.713175,1.548100,0.667359,0.00264575,2.48
13,1.348080,0.718309,1.524732,0.672697,0.00258175,2.50
14,1.316339,0.723873,1.505610,0.674180,0.00251337,2.58
15,1.288283,0.728620,1.488847,0.675069,0.00244088,2.09
16,1.263360,0.732895,1.476066,0.676058,0.00236459,2.38
17,1.240827,0.736869,1.462035,0.680012,0.00228481,0.94
18,1.220257,0.741316,1.451423,0.681099,0.00220187,2.58
19,1.201723,0.744646,1.441676,0.681989,0.00211610,2.56
20,1.184917,0.747685,1.432682,0.685548,0.00202787,2.44
21,1.169360,0.750349,1.426295,0.685745,0.00193752,2.49
22,1.155068,0.752873,1.419453,0.684164,0.00184544,2.54
23,1.142082,0.756053,1.413238,0.687228,0.00175201,2.60
24,1.130069,0.758233,1.408137,0.687129,0.00165759,2.55
25,1.119300,0.759436,1.403410,0.689403,0.00156260,2.44
26,1.109361,0.761756,1.398751,0.687624,0.00146740,0.92
27,1.100036,0.764506,1.395199,0.688612,0.00137241,2.52
28,1.091679,0.766761,1.391577,0.688612,0.00127799,2.54
29,1.083981,0.767653,1.387777,0.689304,0.00118456,2.48
30,1.076823,0.769189,1.385382,0.689798,0.00109248,2.52
31,1.070409,0.770295,1.383400,0.689106,0.00100213,2.65
32,1.064619,0.771949,1.380317,0.691281,0.00091390,2.61
33,1.059424,0.772787,1.378461,0.691182,0.00082813,2.55
34,1.054515,0.774076,1.376979,0.691182,0.00074519,2.46
35,1.050197,0.774538,1.375682,0.692270,0.00066541,2.45
36,1.046398,0.775730,1.374249,0.691677,0.00058912,0.93
37,1.042945,0.776589,1.373468,0.691578,0.00051663,2.49
38,1.039960,0.777352,1.372277,0.691380,0.00044825,2.48
39,1.037276,0.777760,1.371448,0.691578,0.00038425,2.48
40,1.034958,0.778512,1.370853,0.692072,0.00032490,2.53
41,1.032984,0.779081,1.370290,0.691578,0.00027044,2.49
42,1.031274,0.779264,1.369791,0.691775,0.00022109,2.47
43,1.029831,0.779725,1.369434,0.691677,0.00017706,2.50
44,1.028627,0.779908,1.369179,0.692171,0.00013853,2.58
45,1.027644,0.780402,1.368958,0.692171,0.00010565,2.48
